Taxonomy	normal_1	normal_2	normal_3	normal_4	normal_5	betaine_1	betaine_2	betaine_3	betaine_4	betaine_5	model_1	model_2	model_3	model_4	model_5
Lachnospiraceae	34.3731277708991	22.880137396653	12.056156887806	41.7322362902904	31.665135599313	21.7498102807844	26.225186723649	20.7273235611295	25.4363541957902	27.8427926668531	60.0151775372449	70.1202220713344	55.5817390262412	32.7055957183369	34.8524184207373
Porphyromonadaceae	11.2054159843432	40.3602668051284	56.7420218077246	11.8724288053681	21.5920437752127	38.3472460758078	46.4971841674322	42.1016894995407	34.1075208691137	26.0274793305907	21.8217038782602	17.9534289251907	22.3089827055957	41.0851939130087	38.6507968207054
Rikenellaceae	14.5484682669649	10.2388465071694	8.14794104725007	10.8759036625794	12.4575628070456	3.51479809881376	8.26976075408396	9.88936374166234	2.32455965171546	11.7945440747693	6.88580900267604	3.74046411311259	5.02656069017854	10.9278268163119	7.04756959699644
Ruminococcaceae	6.59224347965012	2.21072812237888	1.60961776570675	9.801493789192	8.81695091264928	10.4425450333506	5.44194592003834	2.71997443783201	6.98166713264369	5.43994887566402	3.66058233813955	2.06094979430443	3.50680992131645	2.62211926349003	1.89918919998402
Bacteroidaceae	3.35902863761633	9.46798737867955	3.66857051563686	4.20777249670488	6.23676958102009	3.48683947757319	1.99904141870032	2.17278427926669	2.11287294803691	1.57566801134321	0.754882773495227	0.738906418500619	1.22219115708751	1.71945520629468	2.33654191796142
Prevotellaceae	5.09246315453129	3.6486000718936	5.57774493749251	2.73395374845229	4.43543555537804	5.15037744138675	2.08092023804769	1.94711826496785	2.71797739345768	2.05495866118145	0.724927107880337	0.247633502416424	1.76139313815553	2.57618724288054	3.00954587210928
Deferribacteraceae	1.91117146622998	0.11982266245956	0.0559172424811279	6.6980868314894	0.307544833646204	3.47685425570156	0.375444342373288	1.05843351839278	2.11886408115988	0.475296561089587	1.56568278947158	1.04245716339817	1.59364141071215	0.155769461197428	0.405400007988178
Helicobacteraceae	10.3247194152654	0.213683748052882	0	1.52174781323641	1.91516555497863	0	0.001997044374326	0	0	0.013979310620282	0.00399408874865199	0	0	0.00399408874865199	0
Sutterellaceae	0.0519231537324759	0.722930063506011	3.1493389783121	0.371450253624636	0.173742860566362	0.766865039741183	1.37995766265926	1.56568278947158	0.684986220393817	0.567160602308583	0.177736949315014	0.311538922394856	0.890681790949395	1.72145225066901	0.696968486639773
Desulfovibrionaceae	0.207692614929904	0.0878699524703439	0.151775372448776	0.433358629228741	0.247633502416424	1.22418820146184	0.872708391580461	0.295562567400248	0.597116267923473	0.233654191796142	0.459320206094979	0.313535966769182	0.898669968446699	0.373447297998962	0.273595079282662
Lactobacillaceae	0.0778847305987139	0.818788193473659	0.31952709989216	0.215680792427208	0.151775372448776	0.185725126812318	0.17973399368934	0.20968965930423	0.0718935974757359	0.131804928705516	1.02248671965491	0.836761592842593	0.17973399368934	1.52174781323641	0.17973399368934
Anaeroplasmataceae	1.43188081639174	0.503255182330151	0	0.001997044374326	1.98905619682869	0	0	0	0	0	0.00399408874865199	0.001997044374326	0	0	0
Erysipelotrichaceae	0.00399408874865199	0.01997044374326	0.343491632384072	0.24963054679075	0.0439349762351719	0.165754683069058	0.489275871709869	0.629068977912689	0.283580301154292	0.311538922394856	0.02995566561489	0.145784239325798	0.471302472340935	0.027958621240564	0.161760594320406
Others	10.8199864200983	8.70711347206136	8.17789671286495	9.28425929624158	9.96724847226106	11.4889962854975	6.18684347166196	16.6833087031194	22.5626073411351	23.5311738626832	2.87374685465512	2.48632024603586	6.55829372528657	4.55925230658626	10.4864800095858
