Taxonomy	normal_1	normal_2	normal_3	normal_4	normal_5	betaine_1	betaine_2	betaine_3	betaine_4	betaine_5	model_1	model_2	model_3	model_4	model_5
Lachnospiraceae	3437.31277708991	2288.0137396653	1205.6156887806	4173.22362902904	3166.5135599313	2174.98102807844	2622.5186723649	2072.73235611295	2543.63541957902	2784.27926668531	6001.51775372449	7012.02220713344	5558.17390262412	3270.55957183369	3485.24184207373
Porphyromonadaceae	1120.54159843432	4036.02668051284	5674.20218077246	1187.24288053681	2159.20437752127	3834.72460758078	4649.71841674322	4210.16894995407	3410.75208691137	2602.74793305907	2182.17038782602	1795.34289251907	2230.89827055957	4108.51939130087	3865.07968207054
Rikenellaceae	1454.84682669649	1023.88465071694	814.794104725007	1087.59036625794	1245.75628070456	351.479809881376	826.976075408396	988.936374166234	232.455965171546	1179.45440747693	688.580900267604	374.046411311259	502.656069017854	1092.78268163119	704.756959699644
Ruminococcaceae	659.224347965012	221.072812237888	160.961776570675	980.1493789192	881.695091264928	1044.25450333506	544.194592003834	271.997443783201	698.166713264369	543.994887566402	366.058233813955	206.094979430443	350.680992131645	262.211926349003	189.918919998402
Bacteroidaceae	335.902863761633	946.798737867955	366.857051563686	420.777249670488	623.676958102009	348.683947757319	199.904141870032	217.278427926669	211.287294803691	157.566801134321	75.4882773495227	73.8906418500619	122.219115708751	171.945520629468	233.654191796142
Prevotellaceae	509.246315453129	364.86000718936	557.774493749251	273.395374845229	443.543555537804	515.037744138675	208.092023804769	194.711826496785	271.797739345768	205.495866118145	72.4927107880337	24.7633502416424	176.139313815553	257.618724288054	300.954587210928
Deferribacteraceae	191.117146622998	11.982266245956	5.59172424811279	669.80868314894	30.7544833646204	347.685425570156	37.5444342373288	105.843351839278	211.886408115988	47.5296561089587	156.568278947158	104.245716339817	159.364141071215	15.5769461197428	40.5400007988178
Helicobacteraceae	1032.47194152654	21.3683748052882	0	152.174781323641	191.516555497863	0	0.1997044374326	0	0	1.3979310620282	0.399408874865199	0	0	0.399408874865199	0
Sutterellaceae	5.19231537324759	72.2930063506011	314.93389783121	37.1450253624636	17.3742860566362	76.6865039741183	137.995766265926	156.568278947158	68.4986220393817	56.7160602308583	17.7736949315014	31.1538922394856	89.0681790949395	172.145225066901	69.6968486639773
Desulfovibrionaceae	20.7692614929904	8.78699524703439	15.1775372448776	43.3358629228741	24.7633502416424	122.418820146184	87.2708391580461	29.5562567400248	59.7116267923473	23.3654191796142	45.9320206094979	31.3535966769182	89.8669968446699	37.3447297998962	27.3595079282662
Lactobacillaceae	7.78847305987139	81.8788193473659	31.952709989216	21.5680792427208	15.1775372448776	18.5725126812318	17.973399368934	20.968965930423	7.18935974757359	13.1804928705516	102.248671965491	83.6761592842593	17.973399368934	152.174781323641	17.973399368934
Anaeroplasmataceae	143.188081639174	50.3255182330151	0	0.1997044374326	198.905619682869	0	0	0	0	0	0.399408874865199	0.1997044374326	0	0	0
Erysipelotrichaceae	0.399408874865199	1.997044374326	34.3491632384072	24.963054679075	4.39349762351719	16.5754683069058	48.9275871709869	62.9068977912689	28.3580301154292	31.1538922394856	2.995566561489	14.5784239325798	47.1302472340935	2.7958621240564	16.1760594320406
Others	1081.99864200983	870.711347206136	817.789671286495	928.425929624158	996.724847226106	1148.89962854975	618.684347166196	1668.33087031194	2256.26073411351	2353.11738626832	287.374685465512	248.632024603586	655.829372528657	455.925230658626	1048.64800095858
