gene_id	fujiabin-LncRNA-T.bam	fujiabin-LncRNA-N.bam
ENSG00000119041	29	8
ENSG00000119042	26	1
ENSG00000119048	9	43
ENSG00000119121	1	0
ENSG00000119125	5	2
ENSG00000119138	38	135
ENSG00000119139	5	3
ENSG00000119147	0	0
ENSG00000119185	712	248
ENSG00000119203	7	13
ENSG00000119227	9	4
ENSG00000119231	19	11
ENSG00000119242	0	6
ENSG00000119280	2	16
ENSG00000119283	17	6
ENSG00000119285	951	264
ENSG00000119314	0	1
ENSG00000119318	0	0
ENSG00000119321	1287	497
ENSG00000119326	26	6
ENSG00000119328	11	12
ENSG00000119333	18	21
ENSG00000119335	203	14
ENSG00000119383	0	12
ENSG00000119392	48	9
ENSG00000119396	43	17
ENSG00000119397	168	113
ENSG00000119401	32	10
ENSG00000119402	0	0
ENSG00000119403	1	8
ENSG00000119408	99	111
ENSG00000119411	5	0
ENSG00000119414	0	0
ENSG00000119421	0	0
ENSG00000119431	5	0
ENSG00000119440	0	0
ENSG00000119446	12	7
ENSG00000119457	58	11
ENSG00000119471	24	9
ENSG00000119487	0	0
ENSG00000119508	12	8
ENSG00000119509	34	16
ENSG00000119514	0	0
ENSG00000119522	0	0
ENSG00000119523	0	0
ENSG00000119535	0	0
ENSG00000119537	2	13
ENSG00000119541	0	14
ENSG00000119547	0	0
ENSG00000119559	7	7
ENSG00000119574	16	0
ENSG00000119596	0	4
ENSG00000119599	10	54
ENSG00000119608	201	169
ENSG00000119614	0	0
ENSG00000119616	0	0
ENSG00000119630	4	63
ENSG00000119632	0	0
ENSG00000119636	187	214
ENSG00000119638	0	75
ENSG00000119640	1	8
ENSG00000119650	0	0
ENSG00000119655	53	28
ENSG00000119660	0	2
ENSG00000119661	17	4
ENSG00000119669	12	4
ENSG00000119673	58	21
ENSG00000119681	67	44
ENSG00000119682	0	1
ENSG00000119684	43	30
ENSG00000119685	6	3
ENSG00000119686	76	19
ENSG00000119688	2	1
ENSG00000119689	0	9
ENSG00000119698	0	0
ENSG00000119699	71	32
ENSG00000119703	78	119
ENSG00000119705	191	138
ENSG00000119707	0	3
ENSG00000119711	88	50
ENSG00000119714	140	150
ENSG00000119715	10	17
ENSG00000119718	219	268
ENSG00000119720	1270	962
ENSG00000119723	162	98
ENSG00000119725	13	48
ENSG00000119729	446	143
ENSG00000119737	0	7
ENSG00000119760	235	114
ENSG00000119771	315	265
ENSG00000119772	1	5
ENSG00000119777	0	8
ENSG00000119778	6	2
ENSG00000119782	0	0
ENSG00000119787	0	0
ENSG00000119801	4	2
ENSG00000119812	5	22
ENSG00000119820	0	0
ENSG00000119844	4	0
ENSG00000119862	6	6
ENSG00000119865	26	100
ENSG00000119866	0	0
ENSG00000119878	32	10
ENSG00000119888	0	0
ENSG00000119899	2	0
ENSG00000119900	195	107
ENSG00000119906	14	14
ENSG00000119912	0	0
ENSG00000119913	0	0
ENSG00000119915	0	32
ENSG00000119917	4	3
ENSG00000119919	0	0
ENSG00000119922	6	6
ENSG00000119927	0	0
ENSG00000119929	5	20
ENSG00000119938	0	0
ENSG00000119943	0	0
ENSG00000119946	12	19
ENSG00000119950	77	73
ENSG00000119953	140	94
ENSG00000119965	0	0
ENSG00000119969	0	0
ENSG00000119973	0	0
ENSG00000119977	0	0
ENSG00000119979	31	70
ENSG00000119986	10	12
ENSG00000120008	6	0
ENSG00000120029	0	1
ENSG00000120049	6	4
ENSG00000120051	0	0
ENSG00000120053	0	0
ENSG00000120054	1	0
ENSG00000120055	65	10
ENSG00000120057	6	1
ENSG00000120063	6	0
ENSG00000120068	0	0
ENSG00000120071	0	4
ENSG00000120075	0	0
ENSG00000120088	0	0
ENSG00000120093	133	97
ENSG00000120094	1	0
ENSG00000120129	18	21
ENSG00000120137	0	0
ENSG00000120149	2	0
ENSG00000120156	2	4
ENSG00000120158	0	2
ENSG00000120159	0	2
ENSG00000120160	0	0
ENSG00000120162	0	2
ENSG00000120210	40	2
ENSG00000120211	0	0
ENSG00000120215	275	195
ENSG00000120217	60	11
ENSG00000120235	0	0
ENSG00000120242	0	0
ENSG00000120251	0	1
ENSG00000120253	2	0
ENSG00000120254	2	2
ENSG00000120256	19	51
ENSG00000120262	3	0
ENSG00000120265	37	18
ENSG00000120278	158	0
ENSG00000120279	0	0
ENSG00000120280	0	0
ENSG00000120289	0	0
ENSG00000120306	103	146
ENSG00000120314	1092	403
ENSG00000120318	3	0
ENSG00000120322	0	0
ENSG00000120324	0	2
ENSG00000120327	0	4
ENSG00000120328	0	0
ENSG00000120329	1	2
ENSG00000120332	2	2
ENSG00000120333	67	142
ENSG00000120334	11	7
ENSG00000120337	0	0
ENSG00000120341	0	0
ENSG00000120370	0	1
ENSG00000120436	0	0
ENSG00000120437	214	423
ENSG00000120438	347	26
ENSG00000120440	9	0
ENSG00000120451	8	0
ENSG00000120457	2	4
ENSG00000120458	6	7
ENSG00000120471	0	0
ENSG00000120498	0	0
ENSG00000120500	81	84
ENSG00000120509	7	0
ENSG00000120519	0	0
ENSG00000120526	12	12
ENSG00000120533	0	0
ENSG00000120539	29	18
ENSG00000120549	0	0
ENSG00000120555	4	0
ENSG00000120563	0	0
ENSG00000120594	0	2
ENSG00000120616	0	0
ENSG00000120645	8	7
ENSG00000120647	28	31
ENSG00000120656	0	0
ENSG00000120658	0	2
ENSG00000120659	1	0
ENSG00000120662	16	17
ENSG00000120664	1	4
ENSG00000120669	0	1
ENSG00000120675	0	2
ENSG00000120685	2	0
ENSG00000120686	11	8
ENSG00000120688	24	14
ENSG00000120690	4	15
ENSG00000120693	53	49
ENSG00000120694	5	0
ENSG00000120696	36	22
ENSG00000120697	0	2
ENSG00000120699	193	80
ENSG00000120705	24	11
ENSG00000120708	0	0
ENSG00000120709	3	0
ENSG00000120725	147	81
ENSG00000120727	16	3
ENSG00000120729	44	74
ENSG00000120733	0	17
ENSG00000120738	0	2
ENSG00000120742	355	154
ENSG00000120756	1	0
ENSG00000120784	14	6
ENSG00000120798	15	10
ENSG00000120800	256	170
ENSG00000120802	2	2
ENSG00000120805	11	3
ENSG00000120820	69	12
ENSG00000120832	57	60
ENSG00000120833	17	111
ENSG00000120837	89	58
ENSG00000120860	14	4
ENSG00000120868	4	101
ENSG00000120875	0	0
ENSG00000120885	22	20
ENSG00000120889	10	36
ENSG00000120896	23	101
ENSG00000120899	2	30
ENSG00000120903	35	33
ENSG00000120907	0	0
ENSG00000120910	48	142
ENSG00000120913	7	5
ENSG00000120915	0	0
ENSG00000120925	18	18
ENSG00000120937	0	0
ENSG00000120942	0	0
ENSG00000120948	6	3
ENSG00000120949	0	0
ENSG00000120952	0	0
ENSG00000120963	22	8
ENSG00000120992	10	8
ENSG00000121005	0	1
ENSG00000121022	65	310
ENSG00000121039	0	1
ENSG00000121053	2	2
ENSG00000121057	0	0
ENSG00000121058	0	0
ENSG00000121060	0	3
ENSG00000121064	0	2
ENSG00000121067	0	0
ENSG00000121068	0	18
ENSG00000121073	14	0
ENSG00000121075	0	0
ENSG00000121089	0	0
ENSG00000121101	170	9
ENSG00000121104	80	100
ENSG00000121152	2	0
ENSG00000121207	0	0
ENSG00000121210	16	3
ENSG00000121211	0	1
ENSG00000121236	25	4
ENSG00000121270	59	65
ENSG00000121274	0	0
ENSG00000121281	304	235
ENSG00000121289	0	1
ENSG00000121297	1	0
ENSG00000121310	42	2
ENSG00000121314	0	0
ENSG00000121316	42	58
ENSG00000121318	0	0
ENSG00000121335	4	15
ENSG00000121350	474	134
ENSG00000121351	0	0
ENSG00000121361	1	0
ENSG00000121377	0	0
ENSG00000121380	0	0
ENSG00000121381	0	0
ENSG00000121388	0	0
ENSG00000121390	38	25
ENSG00000121406	71	39
ENSG00000121410	7	2
ENSG00000121413	5	31
ENSG00000121417	0	0
ENSG00000121440	2	3
ENSG00000121446	0	7
ENSG00000121454	715	369
ENSG00000121481	1	6
ENSG00000121486	13	16
ENSG00000121542	0	10
ENSG00000121552	0	2
ENSG00000121570	0	0
ENSG00000121577	0	21
ENSG00000121578	0	0
ENSG00000121579	0	3
ENSG00000121594	23	22
ENSG00000121621	2	0
ENSG00000121634	0	0
ENSG00000121644	2	0
ENSG00000121653	33	16
ENSG00000121671	0	2
ENSG00000121680	0	0
ENSG00000121690	0	0
ENSG00000121691	0	0
ENSG00000121716	0	0
ENSG00000121741	2	0
ENSG00000121742	0	0
ENSG00000121743	0	0
ENSG00000121749	0	0
ENSG00000121753	1	3
ENSG00000121764	260	138
ENSG00000121766	0	15
ENSG00000121769	49	40
ENSG00000121774	12	12
ENSG00000121775	12	0
ENSG00000121797	2	0
ENSG00000121807	1	0
ENSG00000121851	0	37
ENSG00000121853	0	0
ENSG00000121858	1	6
ENSG00000121864	0	0
ENSG00000121871	0	0
ENSG00000121879	111	100
ENSG00000121892	9	25
ENSG00000121895	0	0
ENSG00000121897	165	45
ENSG00000121898	0	4
ENSG00000121900	4	0
ENSG00000121903	2	0
ENSG00000121904	1	5
ENSG00000121905	770	5
ENSG00000121931	0	2
ENSG00000121933	0	0
ENSG00000121940	922	125
ENSG00000121957	942	798
ENSG00000121964	8	4
ENSG00000121966	0	0
ENSG00000121988	454	239
ENSG00000121989	116	119
ENSG00000122008	1	0
ENSG00000122012	6	0
ENSG00000122025	6	0
ENSG00000122026	6	0
ENSG00000122033	88	74
ENSG00000122034	162	98
ENSG00000122035	0	0
ENSG00000122042	4	0
ENSG00000122043	1	0
ENSG00000122068	0	20
ENSG00000122085	621	571
ENSG00000122121	1	0
ENSG00000122122	10	15
ENSG00000122126	1	0
ENSG00000122133	0	0
ENSG00000122136	0	0
ENSG00000122140	8	2
ENSG00000122145	0	0
ENSG00000122176	0	10
ENSG00000122180	0	13
ENSG00000122188	0	1
ENSG00000122194	1	0
ENSG00000122203	10	18
ENSG00000122218	124	113
ENSG00000122223	7	0
ENSG00000122224	0	3
ENSG00000122254	0	0
ENSG00000122257	0	0
ENSG00000122299	0	2
ENSG00000122304	1	1
ENSG00000122335	45	5
ENSG00000122359	2	10
ENSG00000122367	17	0
ENSG00000122375	4	8
ENSG00000122376	170	64
ENSG00000122378	2	2
ENSG00000122386	12	134
ENSG00000122390	0	0
ENSG00000122406	28	115
ENSG00000122417	5	16
ENSG00000122420	1	2
ENSG00000122432	609	235
ENSG00000122435	24	853
ENSG00000122477	253	138
ENSG00000122481	0	0
ENSG00000122482	0	0
ENSG00000122483	435	371
ENSG00000122484	3	0
ENSG00000122490	0	2
ENSG00000122507	0	0
ENSG00000122512	0	0
ENSG00000122515	2	8
ENSG00000122543	0	0
ENSG00000122545	0	0
ENSG00000122547	0	0
ENSG00000122548	4	9
ENSG00000122550	1	10
ENSG00000122557	24	11
ENSG00000122565	12	6
ENSG00000122566	10	2
ENSG00000122574	11	1
ENSG00000122584	0	0
ENSG00000122585	0	10
ENSG00000122591	6	2
ENSG00000122592	1	2
ENSG00000122641	1	0
ENSG00000122642	78	85
ENSG00000122643	5	26
ENSG00000122644	0	0
ENSG00000122674	2	17
ENSG00000122678	6	26
ENSG00000122679	0	1
ENSG00000122687	4	0
ENSG00000122691	4	1
ENSG00000122692	11	146
ENSG00000122694	2	3
ENSG00000122696	16	10
ENSG00000122705	2	3
ENSG00000122707	0	0
ENSG00000122711	6	5
ENSG00000122728	2	0
ENSG00000122729	357	254
ENSG00000122733	18	16
ENSG00000122735	13	25
ENSG00000122741	160	92
ENSG00000122756	0	0
ENSG00000122778	0	1
ENSG00000122779	4	2
ENSG00000122783	278	1218
ENSG00000122786	11	644
ENSG00000122787	0	1
ENSG00000122824	2	0
ENSG00000122852	2	4
ENSG00000122859	0	0
ENSG00000122861	10	2
ENSG00000122862	0	0
ENSG00000122863	0	0
ENSG00000122870	0	1
ENSG00000122872	21	0
ENSG00000122873	0	2
ENSG00000122877	8	1
ENSG00000122882	13	39
ENSG00000122884	0	2
ENSG00000122912	0	0
ENSG00000122952	0	0
ENSG00000122958	1	12
ENSG00000122965	0	0
ENSG00000122966	0	5
ENSG00000122970	2	0
ENSG00000122971	0	6
ENSG00000122986	46	39
ENSG00000123009	1	0
ENSG00000123064	15	0
ENSG00000123066	0	3
ENSG00000123080	8	23
ENSG00000123091	4	7
ENSG00000123094	0	0
ENSG00000123095	25	10
ENSG00000123096	45	75
ENSG00000123104	2	0
ENSG00000123106	1	1
ENSG00000123119	93	92
ENSG00000123124	71	60
ENSG00000123130	0	0
ENSG00000123131	0	7
ENSG00000123136	17	107
ENSG00000123143	3	2
ENSG00000123144	1	0
ENSG00000123146	21	2
ENSG00000123154	686	357
ENSG00000123159	0	0
ENSG00000123165	0	0
ENSG00000123171	0	2
ENSG00000123178	2	1
ENSG00000123179	0	1
ENSG00000123191	0	0
ENSG00000123200	2	1
ENSG00000123201	1	4
ENSG00000123213	0	0
ENSG00000123219	0	0
ENSG00000123240	8	3
ENSG00000123243	0	0
ENSG00000123268	9	3
ENSG00000123297	98	240
ENSG00000123307	0	0
ENSG00000123329	166	138
ENSG00000123338	0	0
ENSG00000123342	178	73
ENSG00000123349	6	14
ENSG00000123352	0	0
ENSG00000123353	302	176
ENSG00000123358	0	0
ENSG00000123360	0	15
ENSG00000123364	19	0
ENSG00000123374	8	3
ENSG00000123384	5	4
ENSG00000123388	7	0
ENSG00000123395	6	3
ENSG00000123405	0	0
ENSG00000123407	0	1
ENSG00000123411	18	4
ENSG00000123415	23	1
ENSG00000123416	1	0
ENSG00000123427	15	11
ENSG00000123444	9	2
ENSG00000123447	0	0
ENSG00000123453	2	1
ENSG00000123454	17	17
ENSG00000123472	0	0
ENSG00000123473	0	0
ENSG00000123485	2	0
ENSG00000123496	0	0
ENSG00000123500	330	248
ENSG00000123505	142	0
ENSG00000123545	0	0
ENSG00000123552	587	144
ENSG00000123560	7	62
ENSG00000123561	0	0
ENSG00000123562	5	0
ENSG00000123569	0	0
ENSG00000123570	0	0
ENSG00000123572	0	0
ENSG00000123575	0	0
ENSG00000123576	0	0
ENSG00000123584	0	0
ENSG00000123594	0	0
ENSG00000123595	5	8
ENSG00000123600	27	7
ENSG00000123607	0	0
ENSG00000123609	1	0
ENSG00000123610	0	0
ENSG00000123612	2	0
ENSG00000123636	25	44
ENSG00000123643	0	2
ENSG00000123684	3	0
ENSG00000123685	0	0
ENSG00000123689	0	1
ENSG00000123700	6	44
ENSG00000123728	11	6
ENSG00000123737	115	5
ENSG00000123739	1	4
ENSG00000123810	47	35
ENSG00000123815	191	184
ENSG00000123836	978	79
ENSG00000123838	7	19
ENSG00000123843	0	9
ENSG00000123870	8	6
ENSG00000123892	0	0
ENSG00000123901	0	1
ENSG00000123908	24	42
ENSG00000123933	0	0
ENSG00000123965	0	0
ENSG00000123975	5	14
ENSG00000123977	0	0
ENSG00000123983	0	0
ENSG00000123989	2	0
ENSG00000123992	1	7
ENSG00000123999	32	12
ENSG00000124003	0	0
ENSG00000124006	9	23
ENSG00000124019	1	0
ENSG00000124067	109	179
ENSG00000124074	2	27
ENSG00000124089	0	0
ENSG00000124091	254	134
ENSG00000124092	0	0
ENSG00000124097	0	0
ENSG00000124098	2	2
ENSG00000124102	0	0
ENSG00000124103	0	0
ENSG00000124104	136	96
ENSG00000124107	0	0
ENSG00000124116	0	0
ENSG00000124120	569	446
ENSG00000124126	0	0
ENSG00000124134	29	24
ENSG00000124140	19	24
ENSG00000124143	0	0
ENSG00000124145	0	0
ENSG00000124151	530	165
ENSG00000124155	4	6
ENSG00000124157	0	0
ENSG00000124159	1	0
ENSG00000124160	0	0
ENSG00000124164	2	0
ENSG00000124171	0	0
ENSG00000124172	88	97
ENSG00000124177	0	14
ENSG00000124181	286	473
ENSG00000124191	0	15
ENSG00000124193	1	0
ENSG00000124194	46	5
ENSG00000124196	0	0
ENSG00000124198	14	0
ENSG00000124201	171	136
ENSG00000124203	0	0
ENSG00000124205	0	0
ENSG00000124207	2	2
ENSG00000124208	0	0
ENSG00000124209	0	0
ENSG00000124212	0	0
ENSG00000124214	15	17
ENSG00000124215	0	0
ENSG00000124216	0	0
ENSG00000124217	0	0
ENSG00000124222	0	0
ENSG00000124224	0	0
ENSG00000124225	12	7
ENSG00000124226	0	0
ENSG00000124227	0	0
ENSG00000124228	18	24
ENSG00000124232	12	2
ENSG00000124233	0	0
ENSG00000124237	0	0
ENSG00000124243	100	18
ENSG00000124249	0	13
ENSG00000124251	86	71
ENSG00000124253	0	0
ENSG00000124256	1	2
ENSG00000124257	33	10
ENSG00000124260	5	0
ENSG00000124275	69	15
ENSG00000124279	0	7
ENSG00000124299	20	26
ENSG00000124302	0	0
ENSG00000124313	1	1
ENSG00000124333	0	0
ENSG00000124334	0	0
ENSG00000124343	0	11
ENSG00000124356	0	0
ENSG00000124357	0	5
ENSG00000124370	0	0
ENSG00000124374	0	0
ENSG00000124380	0	2
ENSG00000124383	4	1
ENSG00000124391	3	1
ENSG00000124399	0	0
ENSG00000124406	0	4
ENSG00000124422	0	2
ENSG00000124429	2	1
ENSG00000124440	1	1
ENSG00000124444	26	24
ENSG00000124449	1	1
ENSG00000124459	18	5
ENSG00000124466	0	0
ENSG00000124467	3	7
ENSG00000124469	8	14
ENSG00000124479	0	0
ENSG00000124486	0	0
ENSG00000124490	0	2
ENSG00000124491	2	19
ENSG00000124493	6	4
ENSG00000124496	16	0
ENSG00000124507	0	1
ENSG00000124508	4	0
ENSG00000124523	94	24
ENSG00000124532	69	31
ENSG00000124535	3	12
ENSG00000124541	41	61
ENSG00000124549	2	0
ENSG00000124557	21	77
ENSG00000124562	0	0
ENSG00000124564	1	14
ENSG00000124568	0	0
ENSG00000124570	1	0
ENSG00000124571	196	169
ENSG00000124574	21	0
ENSG00000124575	0	0
ENSG00000124587	18	21
ENSG00000124588	571	164
ENSG00000124593	3	8
ENSG00000124596	119	796
ENSG00000124602	0	4
ENSG00000124608	0	0
ENSG00000124610	0	2
ENSG00000124613	10	17
ENSG00000124614	0	0
ENSG00000124615	250	274
ENSG00000124635	0	0
ENSG00000124641	0	0
ENSG00000124657	0	0
ENSG00000124659	1	6
ENSG00000124664	0	0
ENSG00000124678	0	4
ENSG00000124688	0	2
ENSG00000124701	44	31
ENSG00000124702	0	7
ENSG00000124713	36	39
ENSG00000124721	2	0
ENSG00000124731	0	0
ENSG00000124733	20	27
ENSG00000124743	25	0
ENSG00000124749	0	0
ENSG00000124762	0	1
ENSG00000124766	18	3
ENSG00000124767	27	13
ENSG00000124772	6	21
ENSG00000124780	0	0
ENSG00000124782	2	4
ENSG00000124783	24	14
ENSG00000124784	2	0
ENSG00000124785	4	10
ENSG00000124786	0	0
ENSG00000124787	13	3
ENSG00000124788	19	891
ENSG00000124789	14	13
ENSG00000124795	65	10
ENSG00000124802	0	0
ENSG00000124812	0	0
ENSG00000124813	29	62
ENSG00000124818	1	0
ENSG00000124827	3	10
ENSG00000124831	4	4
ENSG00000124835	0	0
ENSG00000124839	0	0
ENSG00000124875	0	0
ENSG00000124882	5	0
ENSG00000124900	0	0
ENSG00000124915	1	6
ENSG00000124920	198	124
ENSG00000124935	0	0
ENSG00000124939	0	0
ENSG00000124942	0	0
ENSG00000125037	147	159
ENSG00000125046	0	67
ENSG00000125084	4	0
ENSG00000125089	1	4
ENSG00000125107	194	135
ENSG00000125122	11	14
ENSG00000125124	691	368
ENSG00000125144	0	0
ENSG00000125148	0	15
ENSG00000125149	183	39
ENSG00000125166	0	0
ENSG00000125170	46	20
ENSG00000125207	0	0
ENSG00000125245	543	242
ENSG00000125246	0	0
ENSG00000125247	0	2
ENSG00000125249	0	0
ENSG00000125255	0	0
ENSG00000125257	0	3
ENSG00000125266	0	45
ENSG00000125285	0	2
ENSG00000125304	0	0
ENSG00000125319	6	7
ENSG00000125337	5	0
ENSG00000125347	210	270
ENSG00000125351	8	16
ENSG00000125352	0	2
ENSG00000125354	4	1
ENSG00000125355	30	8
ENSG00000125356	16	5
ENSG00000125363	26	45
ENSG00000125375	575	125
ENSG00000125378	2	4
ENSG00000125384	8	0
ENSG00000125385	0	0
ENSG00000125386	0	7
ENSG00000125388	0	0
ENSG00000125398	0	0
ENSG00000125409	0	0
ENSG00000125414	8	226
ENSG00000125430	0	0
ENSG00000125434	177	77
ENSG00000125445	47	64
ENSG00000125447	129	143
ENSG00000125449	38	10
ENSG00000125450	53	82
ENSG00000125454	3	7
ENSG00000125457	43	38
ENSG00000125458	20	2
ENSG00000125459	8	30
ENSG00000125462	0	0
ENSG00000125482	12	0
ENSG00000125484	0	0
ENSG00000125485	2	1
ENSG00000125492	3	2
ENSG00000125498	0	0
ENSG00000125503	16	2
ENSG00000125505	0	0
ENSG00000125508	1	4
ENSG00000125510	0	0
ENSG00000125514	0	0
ENSG00000125520	1	3
ENSG00000125522	0	0
ENSG00000125531	0	17
ENSG00000125533	0	0
ENSG00000125534	0	0
ENSG00000125538	26	2
ENSG00000125551	0	0
ENSG00000125571	0	0
ENSG00000125611	10	9
ENSG00000125618	368	83
ENSG00000125629	0	0
ENSG00000125630	13	6
ENSG00000125631	196	111
ENSG00000125633	0	0
ENSG00000125637	11	2
ENSG00000125648	0	0
ENSG00000125650	33	3
ENSG00000125651	0	1
ENSG00000125652	2	3
ENSG00000125656	0	0
ENSG00000125657	2	0
ENSG00000125675	4	2
ENSG00000125676	0	0
ENSG00000125686	53	16
ENSG00000125691	0	0
ENSG00000125695	0	0
ENSG00000125703	0	0
ENSG00000125726	0	0
ENSG00000125730	0	0
ENSG00000125731	45	93
ENSG00000125733	62	5
ENSG00000125734	2	0
ENSG00000125735	0	0
ENSG00000125740	149	4
ENSG00000125741	58	85
ENSG00000125743	4	4
ENSG00000125744	4	14
ENSG00000125746	22	2
ENSG00000125753	8	8
ENSG00000125755	0	0
ENSG00000125772	0	0
ENSG00000125775	56	40
ENSG00000125779	77	104
ENSG00000125780	0	1
ENSG00000125787	13	0
ENSG00000125788	0	0
ENSG00000125798	0	0
ENSG00000125804	0	0
ENSG00000125810	6	8
ENSG00000125812	245	148
ENSG00000125813	0	0
ENSG00000125814	14	12
ENSG00000125815	0	0
ENSG00000125816	0	0
ENSG00000125817	0	0
ENSG00000125818	5	0
ENSG00000125820	0	0
ENSG00000125821	0	0
ENSG00000125823	0	0
ENSG00000125826	30	44
ENSG00000125827	0	0
ENSG00000125831	9	0
ENSG00000125834	4	3
ENSG00000125835	0	0
ENSG00000125841	21	4
ENSG00000125843	0	0
ENSG00000125844	31	16
ENSG00000125845	0	0
ENSG00000125846	2	0
ENSG00000125848	46	89
ENSG00000125850	0	1
ENSG00000125851	0	1
ENSG00000125861	0	0
ENSG00000125863	0	0
ENSG00000125864	2	0
ENSG00000125868	68	25
ENSG00000125869	0	1
ENSG00000125870	0	0
ENSG00000125871	8	4
ENSG00000125872	18	58
ENSG00000125875	12	32
ENSG00000125877	7	1
ENSG00000125878	0	0
ENSG00000125879	0	0
ENSG00000125885	2	2
ENSG00000125888	0	0
ENSG00000125895	12	14
ENSG00000125898	0	0
ENSG00000125899	0	0
ENSG00000125900	8	0
ENSG00000125901	37	14
ENSG00000125903	0	1
ENSG00000125910	3	2
ENSG00000125912	0	0
ENSG00000125931	2	0
ENSG00000125944	0	0
ENSG00000125945	0	0
ENSG00000125952	3	4
ENSG00000125954	0	0
ENSG00000125962	0	0
ENSG00000125965	0	0
ENSG00000125966	447	297
ENSG00000125967	4	6
ENSG00000125968	0	0
ENSG00000125970	21	50
ENSG00000125971	2	12
ENSG00000125975	0	20
ENSG00000125977	169	124
ENSG00000125991	2	6
ENSG00000125995	32	44
ENSG00000125997	37	28
ENSG00000125998	0	0
ENSG00000125999	1	0
ENSG00000126001	50	1
ENSG00000126003	0	0
ENSG00000126005	9	1
ENSG00000126010	0	0
ENSG00000126012	3	37
ENSG00000126016	0	0
ENSG00000126062	70	48
ENSG00000126067	0	0
ENSG00000126070	0	9
ENSG00000126088	2	15
ENSG00000126091	1	14
ENSG00000126106	424	452
ENSG00000126107	2	6
ENSG00000126214	496	65
ENSG00000126215	1451	1312
ENSG00000126216	0	0
ENSG00000126217	0	2
ENSG00000126218	3	4
ENSG00000126226	0	0
ENSG00000126231	27	22
ENSG00000126233	0	0
ENSG00000126243	0	2
ENSG00000126246	9	4
ENSG00000126247	4	25
ENSG00000126249	0	0
ENSG00000126251	0	0
ENSG00000126254	10	4
ENSG00000126259	1	0
ENSG00000126261	0	0
ENSG00000126262	0	0
ENSG00000126264	5	7
ENSG00000126266	1	0
ENSG00000126267	0	0
ENSG00000126337	0	2
ENSG00000126351	49	85
ENSG00000126353	44	39
ENSG00000126368	45	122
ENSG00000126391	29	102
ENSG00000126432	0	0
ENSG00000126453	279	140
ENSG00000126456	53	74
ENSG00000126457	28	1
ENSG00000126458	12	38
ENSG00000126460	3	1
ENSG00000126461	0	0
ENSG00000126464	0	4
ENSG00000126467	0	2
ENSG00000126500	130	237
ENSG00000126522	0	0
ENSG00000126524	0	6
ENSG00000126545	1	0
ENSG00000126549	0	0
ENSG00000126550	0	0
ENSG00000126561	109	149
ENSG00000126562	100	20
ENSG00000126581	0	2
ENSG00000126583	0	0
ENSG00000126602	169	113
ENSG00000126603	0	0
ENSG00000126653	0	1
ENSG00000126698	0	0
ENSG00000126705	2	10
ENSG00000126709	0	0
ENSG00000126733	0	0
ENSG00000126746	5	2
ENSG00000126749	1132	775
ENSG00000126752	0	0
ENSG00000126756	4	10
ENSG00000126759	0	0
ENSG00000126767	0	0
ENSG00000126768	141	76
ENSG00000126773	356	1553
ENSG00000126775	75	286
ENSG00000126777	2	6
ENSG00000126778	0	29
ENSG00000126785	0	0
ENSG00000126787	7	0
ENSG00000126790	0	2
ENSG00000126803	2	0
ENSG00000126804	12	17
ENSG00000126814	101	194
ENSG00000126821	0	0
ENSG00000126822	23	12303
ENSG00000126838	324	163
ENSG00000126856	0	3
ENSG00000126858	0	5
ENSG00000126860	168	47
ENSG00000126861	279	204
ENSG00000126870	0	0
ENSG00000126878	6	0
ENSG00000126882	0	1
ENSG00000126883	2	3
ENSG00000126890	0	0
ENSG00000126895	6	1
ENSG00000126903	0	0
ENSG00000126934	0	0
ENSG00000126945	0	0
ENSG00000126947	0	0
ENSG00000126950	0	0
ENSG00000126952	1	5
ENSG00000126953	0	0
ENSG00000126970	0	1
ENSG00000127022	0	0
ENSG00000127054	401	80
ENSG00000127074	21	0
ENSG00000127080	267	321
ENSG00000127081	0	0
ENSG00000127083	120	132
ENSG00000127084	2	1
ENSG00000127124	6	2
ENSG00000127125	0	0
ENSG00000127129	0	0
ENSG00000127152	0	0
ENSG00000127184	0	2
ENSG00000127191	8	8
ENSG00000127220	34	12
ENSG00000127241	34	1
ENSG00000127249	0	0
ENSG00000127252	0	0
ENSG00000127311	16	0
ENSG00000127314	1	11
ENSG00000127318	0	6
ENSG00000127324	19	12
ENSG00000127325	0	0
ENSG00000127328	7	0
ENSG00000127329	257	2
ENSG00000127334	0	27
ENSG00000127337	0	2
ENSG00000127362	0	0
ENSG00000127364	0	0
ENSG00000127366	0	0
ENSG00000127377	0	0
ENSG00000127399	37	0
ENSG00000127412	0	0
ENSG00000127415	1	1
ENSG00000127418	0	0
ENSG00000127419	15	16
ENSG00000127423	23	15
ENSG00000127445	0	0
ENSG00000127452	0	1
ENSG00000127463	409	326
ENSG00000127472	0	2
ENSG00000127481	29	16
ENSG00000127483	0	0
ENSG00000127507	15	7
ENSG00000127511	0	2
ENSG00000127515	0	0
ENSG00000127526	0	12
ENSG00000127527	2	27
ENSG00000127528	0	2
ENSG00000127529	0	0
ENSG00000127530	10	6
ENSG00000127533	11	18
ENSG00000127540	0	1
ENSG00000127554	0	0
ENSG00000127561	1	0
ENSG00000127564	318	95
ENSG00000127578	8	1
ENSG00000127580	288	126
ENSG00000127585	69	6
ENSG00000127586	7	4
ENSG00000127588	3	3
ENSG00000127589	2	0
